i,j,l,t,value
4,1,4,2,0.0
5,1,4,2,0.0
6,1,4,2,0.0
7,1,4,2,0.0
8,1,4,2,0.0
9,1,4,2,0.0
1,2,4,2,0.0
2,2,4,2,0.0
3,2,4,2,0.0
4,2,4,2,0.0
5,2,4,2,0.0
6,2,4,2,0.0
7,2,4,2,0.0
8,2,4,2,0.0
9,2,4,2,0.0
1,3,4,2,0.0
2,3,4,2,0.0
3,3,4,2,0.0
4,3,4,2,0.0
5,3,4,2,0.0
6,3,4,2,0.0
7,3,4,2,0.0
8,3,4,2,0.0
9,3,4,2,0.0
1,4,4,2,0.0
2,4,4,2,0.0
3,4,4,2,0.0
4,4,4,2,0.0
5,4,4,2,0.0
6,4,4,2,0.0
7,4,4,2,0.0
8,4,4,2,0.0
9,4,4,2,0.0
1,5,4,2,0.0
2,5,4,2,0.0
3,5,4,2,0.0
4,5,4,2,0.0
5,5,4,2,0.0
6,5,4,2,0.0
7,5,4,2,0.0
8,5,4,2,0.0
9,5,4,2,0.0
1,6,4,2,0.0
2,6,4,2,0.0
3,6,4,2,0.0
4,6,4,2,0.0
5,6,4,2,0.0
6,6,4,2,0.0
7,6,4,2,0.0
8,6,4,2,0.0
9,6,4,2,0.0
1,7,4,2,0.0
2,7,4,2,0.0
3,7,4,2,0.0
4,7,4,2,0.0
5,7,4,2,0.0
6,7,4,2,0.0
7,7,4,2,0.0
8,7,4,2,14132.6374989
9,7,4,2,0.0
1,8,4,2,0.0
2,8,4,2,0.0
3,8,4,2,0.0
4,8,4,2,0.0
5,8,4,2,0.0
6,8,4,2,0.0
7,8,4,2,0.0
8,8,4,2,3837.5309745
9,8,4,2,0.0
1,9,4,2,0.0
2,9,4,2,0.0
3,9,4,2,0.0
4,9,4,2,0.0
5,9,4,2,0.0
6,9,4,2,0.0
7,9,4,2,0.0
8,9,4,2,16289.080013099921
9,9,4,2,0.0
1,10,4,2,0.0
2,10,4,2,0.0
3,10,4,2,0.0
4,10,4,2,0.0
5,10,4,2,0.0
6,10,4,2,0.0
7,10,4,2,0.0
8,10,4,2,0.0
9,10,4,2,0.0
1,11,4,2,0.0
2,11,4,2,0.0
3,11,4,2,0.0
4,11,4,2,0.0
5,11,4,2,0.0
6,11,4,2,0.0
7,11,4,2,0.0
8,11,4,2,12114.900095179377
9,11,4,2,0.0
1,12,4,2,0.0
2,12,4,2,0.0
3,12,4,2,0.0
4,12,4,2,0.0
5,12,4,2,0.0
6,12,4,2,0.0
7,12,4,2,0.0
8,12,4,2,17925.7411658207
9,12,4,2,0.0
1,1,1,3,0.0
2,1,1,3,2801.3037799999993
3,1,1,3,0.0
4,1,1,3,16966.74622
5,1,1,3,0.0
6,1,1,3,0.0
7,1,1,3,0.0
8,1,1,3,0.0
9,1,1,3,0.0
1,2,1,3,0.0
2,2,1,3,12736.875
3,2,1,3,0.0
4,2,1,3,0.0
5,2,1,3,0.0
6,2,1,3,0.0
7,2,1,3,0.0
8,2,1,3,0.0
9,2,1,3,0.0
1,3,1,3,0.0
2,3,1,3,0.0
3,3,1,3,0.0
4,3,1,3,0.0
5,3,1,3,5735.85
6,3,1,3,0.0
7,3,1,3,0.0
8,3,1,3,0.0
9,3,1,3,0.0
1,4,1,3,0.0
2,4,1,3,2242.88
3,4,1,3,0.0
4,4,1,3,0.0
5,4,1,3,0.0
6,4,1,3,0.0
7,4,1,3,0.0
8,4,1,3,0.0
9,4,1,3,0.0
1,5,1,3,0.0
2,5,1,3,10796.670000000002
3,5,1,3,0.0
4,5,1,3,0.0
5,5,1,3,0.0
6,5,1,3,0.0
7,5,1,3,0.0
8,5,1,3,0.0
9,5,1,3,0.0
1,6,1,3,0.0
2,6,1,3,0.0
3,6,1,3,0.0
4,6,1,3,3940.5212200000024
